Country,Polity,Subkingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Nupe,,Jebba,,,Johnston Map 3,9.126007986,4.826423623
Nigeria,Nupe,,Lafiagi,,subemirate,Smaldone p. 55,8.852993,5.416413
Nigeria,Nupe,,Raba,,early capital,Johnston 138,9.211951533,5.029341867
Nigeria,Nupe,,Shonga,,sarkin here,Hogben and Kirk-Greene 271,9.01823,5.15153
