StateSystem,Polity_Full_Name,Polity,ConquerElite,Start_Century,End_Decade,Polity_Age,Councilors,Caste?,Slavery?,Succession Eligibility,Succession_Method,Kingmakers/Electors,Elite_Structure,Religious/Regulatory Societies/Age sets,Economy_Agriculture,Economy_Pastoralism,Economy_Trade,Trade_FoodStuffs_Livestock,Trade_Minerals,Trade_EnslavedPersons,Trade_Rtes,Elite_Ethnicity,Ideology,Stability,Judicial Autonomy,Islamic,Persistence,N_Sources
Tswana,BaLete,BaLete,0,1800,1880,0_49yrs,1,0,0,Father-Son,Descent,0,Regal,No,1,1,1,0,1,0,Regional,Tswana,Hereditary Monarchy,Rising,Appeals,0,1,12
Tswana,BaNgwaketse,BaNgwaketse,0,1800,1880,50_99yrs,1,0,0,Father-Son,Descent,0,Regal,No,0,1,0,0,1,0,Regional,Tswana,Hereditary Monarchy,Stable,Appeals,0,1,12
Tswana,BaNgwato,BaNgwato,0,1700,1880,50_99yrs,1,0,0,Father-Son,Descent,0,Regal,No,1,1,0,0,1,0,Regional,Tswana,Hereditary Monarchy,Rising,Appeals,0,1,12
Tswana,Tawana,Tawana,0,1800,1880,0_49yrs,1,0,0,Father-Son,Descent,0,Regal,No,1,1,0,0,1,0,Regional,Tswana,Hereditary Monarchy,Stable,Local,0,1,12
Tyo/Teke,Tyo,Tyo,0,1500,1880,300yrsPlus,0,0,0,Within Eligible Clans/Royals,Elected,1,Gatekeeper,No,1,0,1,0,1,1,AtlanticSlave,Bateke,Divine Kingship,Stable,Local,0,1,1
Ugweno,Ugweno,Ugweno,0,1500,1870,300yrsPlus,1,0,0,Father-Son,Descent,0,Regal,No,1,1,1,0,1,1,IndianOcean,Pare,Divine Kingship,Declining,Appeals,0,0,5
Wolayta,Wolayta,Wolayta,1,1200,1890,300yrsPlus,1,1,1,Within Patrilineage,Descent,1,Regal,No,1,0,1,0,1,0,SaharaCaravans,Wolaita,Divine Kingship,Stable,Appeals,0,0,3
Yaga,Yaga,Yaga,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,0,Gatekeeper,No,1,1,1,1,0,1,SaharaCaravans,Fulani,Islamic Theocracy,Stable,Appointee,1,1,3
Yeke,Yeke,Yeke,1,1800,1890,0_49yrs,1,0,0,n/a,n/a,,Regal,No,1,0,1,0,1,1,IndianOcean,Yeke,Divine Kingship,Rising,,0,0,4
Yoruba,Egba,Egba,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Federation,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,8
Yoruba,Egbado,Egbado,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Ekiti,Ekiti,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Ife,Ife,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Igbomina,Igbomina,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
