Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Niger,Gobir,Tibiri,,new capital,Hamani p. 213,13.562709,7.048478,
Nigeria,Gobir,Sabon Birni,,chief here,Hama 33,13.563874,6.323546,
Niger,Gobir,Makwana,,,Hamani p. 215,13.57499,6.24545,
Nigeria,Gobir,Alkalawa,,Capital,Hama p. 13,13.625971,6.310147,
Niger,Gobir,Kwanni,,vassal ,Hamani p. 213,13.727969,7.075622,
Niger,Gobir,Rundana,,,Guy p. 222,13.737752,6.921429,
Niger,Gobir,Konyo,,,Last p. 108,13.67861,6.89536,approximate
Nigeria,Gobir,Dan Kourawa,,Gobirawa move here,Hama 37,13.52009,6.36358,
