Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
South Africa,BaKgatla,Dwarsberg,Dinokaneng,Mining site with copper deposits,Morton 2003 271,-24.9394,26.60894,
Botswana,BaKgatla,Mabalane,placed at Mmathubudukwane,Royal ward established here in 1890s ,Morton 2003 276,-24.60322,26.43128,
South Africa,BaKgatla,Magakwe,Kruidfontein 40; placed at Legogolwe,Main settlement here early 1800s,Morton 2003 273,-25.09246,27.205,
Botswana,BaKgatla,Malolwane,placed at Mokukumato,Royal ward established here in 1890s ,Morton 2003 276,-24.45836,26.49961,
South Africa,BaKgatla,Mmamaodimokswana,Schildpadnest 385; placed at Amandelbult nearest point,Base under Pilane,Morton 2003 272,-24.82187,27.29498,
South Africa,BaKgatla,Mmasobudule,Rhenosterfontein,Pilan'es capital in late 1830s,Schepera 1980a 9,-24.55402,27.90448,
Botswana,BaKgatla,Mochudi ,,"Settle here in 1871 - Capital ; was a Kwena capital in 1700s, but Sechele moves to capture ivory trade to the west",Nangati 132,-24.41736,26.14703,
South Africa,BaKgatla,Thlaka le Moetse,Middelkuil 8; placed at Manamakgoteng - nearest town,Main settlement here early 1800s,Morton 2003 273,-25.13346,27.20478,
South Africa,BaKgatla,Tlokwane,Thokwane; Rhenosterkop 251; placed at Mokgalwaneng nearest town,Early 1800s principal settlements; Senwelo move's village there,Morton 2013 19,-24.80547,26.99433,
