Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Guinea,Umarian_Guinea,,Dinguiraye,,First base of Tall from which wages Jihad,Ryer,11.28839442,-10.70993285
Guinea,Umarian_Guinea,,Labata,,,Oloruntimehin,11.67207179,-10.64555616
Guinea,Umarian_Guinea,,Tamba,,major Umarian post,Robinson 1987,11.8,-10.666
Mali,Umarian_Guinea,,Kundian,,major Umarian post,Robinson 1987,13.159,-10.6803
