Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Guinea,Fouta Djallon_Sud,Kelela,,Important Diahanke village,"Bah 2008, p. 34",11.349434,-11.633452
Guinea,Fouta Djallon_Sud,Nadel,,Yllabes Clan Residence,"Bah 2008, p. 31",11.362857,-12.350139
Guinea,Fouta Djallon_Sud,Banga,,Impotant Casted village,"Bah 2008, p. 34",11.381362,-12.717343
Guinea,Fouta Djallon_Sud,Popodao,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.401762,-12.404463
Guinea,Fouta Djallon_Sud,Sannun,,,Diallo 1972 map 3,11.416667,-12.133333
Guinea,Fouta Djallon_Sud,Satina,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.433333,-12.366667
Guinea,Fouta Djallon_Sud,Daralabe,,Boulayabes Clan Residence,"Bah 2008, p. 30",11.440448,-11.343883
Guinea,Fouta Djallon_Sud,Tougue,,,Demouguet 1944,11.442744,-11.663623
Guinea,Fouta Djallon_Sud,Diountou,,,,11.466667,-12.533333
Guinea,Fouta Djallon_Sud,Fetoyambi,,Important Diahanke village,"Bah 2008, p. 34",11.533333,-12.183333
Guinea,Fouta Djallon_Sud,Diogui Dabbi,,Yllabes Clan Residence,"Bah 2008, p. 31",11.552642,-12.766058
Guinea,Fouta Djallon_Sud,Pelimini,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.566667,-12.15
Guinea,Fouta Djallon_Sud,Dena,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.578458,-12.550479
Guinea,Fouta Djallon_Sud,Kubiya,,important village in Foutanke heartland,Diallo 1972 map 3,11.584965,-11.89279
Guinea,Fouta Djallon_Sud,Sare Kali,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.6,-12.266667
Guinea,Fouta Djallon_Sud,Tuuba,,,Diallo 1972 map 3,11.604902,-13.024965
Guinea,Fouta Djallon_Sud,Gonkou,,Balde Clan Residence,"Bah 2008, p. 30",11.616667,-11.45
Guinea,Fouta Djallon_Sud,Bassara,,city built by rulers in Labe,"Balde, 1995, p. 36",11.633333,-11.783333
Guinea,Fouta Djallon_Sud,Manda Foulbe,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.666667,-12.616667
Guinea,Fouta Djallon_Sud,Niannou,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.677227,-11.979251
Guinea,Fouta Djallon_Sud,Koumibili,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.747725,-11.885756
Guinea,Fouta Djallon_Sud,Linsan,,Balde Clan Residence,"Bah 2008, p. 30",11.766667,-12.683333
Guinea,Fouta Djallon_Sud,Simili,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.783333,-11.766667
Guinea,Fouta Djallon_Sud,Yame,,Yllabes Clan Residence,"Bah 2008, p. 31",11.783333,-12.883333
Guinea,Fouta Djallon_Sud,Doungnel Sigon,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.8,-12.216667
Guinea,Fouta Djallon_Sud,Yemberen,,important village in Foutanke heartland,Diallo 1972 map 3,11.816667,-12.35
Guinea,Fouta Djallon_Sud,Salambande,,city built by rulers in Labe,"Balde, 1995, p. 36",11.833333,-11.883333
Guinea,Fouta Djallon_Sud,Gadaoundou,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.842995,-11.576376
Guinea,Fouta Djallon_Sud,Badougoula,,Important Sarakhole village,"Bah 2008, p. 34",11.855762,-12.70087
Guinea,Fouta Djallon_Sud,Dougountouni,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.866667,-12.616667
Guinea,Fouta Djallon_Sud,Madina Wora,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.0309,-12.499
Guinea,Fouta Djallon_Sud,Toulel,,NGueriNyabe Clan Residence,"Bah 2008, p. 32",12.038872,-12.853105
